'240', '1149', '137', '9', '107', '5', '257', '97', '84', '96', '129', '87', '67', '0', '105', '77', '130', '86', '85', '87'
'793', '0', '44', '86', '20', '87', '61', '81', '103', '88', '91', '87', '159', '87', '121', '5', '167', '5', '88', '86'
'783', '0', '667', '87', '20', '84', '30', '86', '77', '87', '204', '87', '82', '174', '125', '1149', '171', '83', '91', '84'
'788', '0', '663', '75', '19', '85', '22', '96', '77', '96', '206', '79', '79', '174', '132', '1149', '181', '5', '89', '72'
'778', '18', '680', '5', '27', '66', '20', '80', '76', '94', '251', '90', '199', '174', '239', '29', '194', '79', '203', '87'
'786', '18', '752', '5', '32', '89', '19', '83', '71', '117', '239', '114', '195', '174', '160', '1149', '203', '6', '210', '83'
'5', '0', '689', '5', '28', '79', '22', '82', '79', '90', '236', '115', '194', '175', '165', '1149', '181', '6', '210', '86'
'5', '0', '663', '81', '20', '72', '24', '101', '77', '120', '203', '147', '190', '171', '130', '4', '187', '5', '209', '80'
'770', '0', '39', '109', '15', '101', '57', '129', '97', '174', '220', '175', '161', '174', '117', '60', '175', '74', '205', '85'
'768', '0', '37', '79', '14', '101', '48', '174', '99', '135', '226', '52', '162', '59', '122', '5', '174', '5', '208', '92'
