'191', '73', '750', '95', '42', '120', '19', '92', '91', '82', '135', '78', '104', '173', '134', '0', '184', '5', '95', '130'
'200', '0', '714', '64', '37', '102', '19', '99', '86', '83', '194', '169', '85', '172', '128', '5', '181', '5', '92', '127'
'198', '0', '722', '74', '32', '96', '20', '95', '89', '96', '106', '71', '104', '59', '142', '0', '108', '5', '96', '98'
'197', '0', '730', '76', '34', '87', '20', '88', '90', '88', '106', '93', '138', '59', '141', '1149', '197', '5', '87', '105'
'188', '72', '662', '5', '567', '133', '20', '127', '86', '169', '192', '172', '87', '172', '133', '5', '195', '75', '88', '78'
'196', '0', '701', '118', '32', '115', '22', '173', '120', '83', '170', '172', '149', '161', '107', '5', '164', '5', '191', '88'
'282', '54', '744', '96', '652', '91', '112', '99', '170', '80', '296', '134', '266', '172', '264', '1149', '304', '5', '291', '91'
'287', '54', '758', '88', '652', '128', '113', '132', '170', '82', '293', '81', '265', '173', '265', '0', '308', '5', '293', '72'
'275', '73', '814', '5', '665', '96', '118', '124', '165', '114', '326', '172', '248', '172', '252', '1149', '293', '81', '254', '108'
